EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
1	16:22:02	0	0.1000	3.7670929568937455	5.685475826263428	0.5665	0.4015	0.4699
2	16:22:34	0	0.1000	1.9657395146358971	4.184643268585205	0.7021	0.4984	0.5830
3	16:23:06	0	0.1000	1.5623294135619854	3.3481545448303223	0.7154	0.5936	0.6489
4	16:23:37	0	0.1000	1.3189767893703503	2.9738755226135254	0.7215	0.6187	0.6661
5	16:24:09	0	0.1000	1.1549715101718903	2.925553560256958	0.7298	0.6076	0.6631
6	16:24:40	0	0.1000	0.9906786563752712	2.577454090118408	0.7631	0.6622	0.7091
7	16:25:12	0	0.1000	0.9598551034584812	2.4939053058624268	0.7582	0.6686	0.7106
8	16:25:44	0	0.1000	0.801777402046083	2.1872079372406006	0.7816	0.7244	0.7519
9	16:26:15	0	0.1000	0.7165338218897238	2.2144837379455566	0.7817	0.7204	0.7498
10	16:26:47	0	0.1000	0.6824459084149065	2.0378150939941406	0.7836	0.7354	0.7587
